"year","gr","squirrel_id","sex","breed_status","age_class","log_cache_size_new","log_total_cones"
2014,"KL",20223,"M",0,"juvenile",10.9653885286667,6.90201340778595
2016,"KL",20223,"M",1,"adult",0,1.70178639803856
2017,"KL",20223,"M",1,"adult",6.59856118779592,4.12577983837698
2018,"KL",20223,"M",1,"adult",5.98941097885429,1.19410634818236
2019,"KL",20223,"M",1,"adult",10.2788308337289,7.77371756809913
2017,"AG",20232,"M",1,"adult",9.5031484959706,4.12577983837698
2017,"AG",20233,"M",1,"adult",8.54163095610401,4.12577983837698
2014,"SU",20235,"M",1,"juvenile",10.5265744529053,6.90201340778595
2015,"SU",20235,"M",1,"yearling",0,0.00550994838793582
2016,"SU",20235,"M",1,"adult",7.42056159820689,1.70178639803856
2017,"SU",20235,"M",1,"adult",8.88707716026455,4.12577983837698
2018,"SU",20235,"M",1,"adult",6.6399476852414,1.19410634818236
2017,"AG",20254,"M",1,"adult",4.38188431567523,4.12577983837698
2017,"KL",20295,"M",1,"adult",3.77873310761537,4.12577983837698
2016,"SU",20341,"M",1,"adult",0,1.70178639803856
2015,"SU",20342,"M",1,"yearling",0,0.00550994838793582
2016,"SU",20342,"M",1,"adult",0,1.70178639803856
2017,"SU",20342,"M",1,"adult",8.83411954337107,4.12577983837698
2018,"SU",20342,"M",1,"adult",6.95797936265304,1.19410634818236
2014,"SU",20352,"M",0,"juvenile",9.86380421782482,6.90201340778595
2016,"SU",20353,"M",1,"adult",0,1.70178639803856
2017,"SU",20353,"M",1,"adult",0,4.12577983837698
2018,"SU",20353,"M",1,"adult",0,1.19410634818236
2015,"SU",20447,"M",1,"yearling",0,0.00550994838793582
2016,"SU",20447,"M",1,"adult",0,1.70178639803856
2017,"SU",20447,"M",1,"adult",9.11874125079584,4.12577983837698
2018,"SU",20447,"M",1,"adult",0,1.19410634818236
2014,"SU",20495,"M",1,"yearling",11.3688621606159,6.90201340778595
2015,"SU",20495,"M",1,"adult",0,0.00550994838793582
2016,"SU",20495,"M",1,"adult",5.2360416853285,1.70178639803856
2018,"SU",20495,"M",1,"adult",7.78560228742178,1.19410634818236
2019,"SU",20495,"M",1,"adult",10.0296919300963,7.77371756809913
2014,"SU",20523,"M",1,"yearling",10.7493367076282,6.90201340778595
2016,"SU",20523,"M",1,"adult",6.91404510563299,1.70178639803856
2017,"SU",20523,"M",1,"adult",9.21456082356993,4.12577983837698
2018,"SU",20523,"M",1,"adult",6.5338043624788,1.19410634818236
2016,"KL",20525,"M",1,"adult",0,1.70178639803856
2017,"KL",20525,"M",1,"adult",2.25676242161045,4.12577983837698
2019,"KL",20525,"M",1,"adult",9.19202130199619,7.77371756809913
2014,"KL",20567,"M",1,"yearling",9.53869687413948,6.90201340778595
2014,"KL",20570,"M",0,"juvenile",8.88971416052478,6.90201340778595
2016,"KL",20570,"M",1,"adult",0,1.70178639803856
2017,"KL",20570,"M",1,"adult",5.68431186097656,4.12577983837698
2014,"KL",20573,"M",0,"juvenile",10.7707170766097,6.90201340778595
2015,"KL",20634,"M",1,"yearling",0,0.00550994838793582
2016,"KL",20634,"M",1,"adult",0,1.70178639803856
2014,"KL",20645,"M",1,"yearling",10.2409413475757,6.90201340778595
2016,"SU",20694,"M",1,"adult",0,1.70178639803856
2019,"AG",20697,"M",1,"adult",10.3681906389425,7.77371756809913
2015,"KL",20729,"M",1,"yearling",0,0.00550994838793582
2016,"KL",20729,"M",1,"adult",0,1.70178639803856
2017,"KL",20729,"M",1,"adult",7.1033310746367,4.12577983837698
2018,"KL",20729,"M",1,"adult",7.3758377314638,1.19410634818236
2014,"KL",20756,"M",1,"yearling",8.34865112949483,6.90201340778595
2016,"KL",20756,"M",1,"adult",0,1.70178639803856
2017,"KL",20756,"M",1,"adult",6.89815834494391,4.12577983837698
2018,"KL",20756,"M",1,"adult",0,1.19410634818236
2014,"KL",20778,"M",0,"juvenile",8.51969991146354,6.90201340778595
2015,"KL",20778,"M",1,"yearling",0,0.00550994838793582
2016,"KL",20778,"M",1,"adult",6.28695520069981,1.70178639803856
2017,"KL",20778,"M",1,"adult",9.15490463361214,4.12577983837698
2018,"KL",20778,"M",1,"adult",3.25048165351166,1.19410634818236
2017,"KL",20804,"M",0,"adult",6.43286842286566,4.12577983837698
2016,"SU",20812,"M",1,"adult",0,1.70178639803856
2015,"SU",20819,"M",1,"adult",0,0.00550994838793582
2016,"SU",20819,"M",1,"adult",0,1.70178639803856
2017,"SU",20819,"M",1,"adult",7.94780217132912,4.12577983837698
2014,"SU",20825,"M",1,"yearling",10.7292486094732,6.90201340778595
2016,"SU",20825,"M",1,"adult",0,1.70178639803856
2017,"SU",20825,"M",1,"adult",5.72798363953456,4.12577983837698
2018,"SU",20825,"M",1,"adult",6.2483931541153,1.19410634818236
2014,"KL",20836,"M",0,"yearling",10.8762478795477,6.90201340778595
2016,"KL",20836,"M",1,"adult",0,1.70178639803856
2017,"KL",20836,"M",1,"adult",7.20683145293669,4.12577983837698
2018,"KL",20836,"M",1,"adult",0,1.19410634818236
2016,"KL",20862,"M",1,"adult",0,1.70178639803856
2017,"KL",20862,"M",1,"adult",4.79065773271279,4.12577983837698
2018,"KL",20862,"M",1,"adult",7.19589030047141,1.19410634818236
2016,"KL",20864,"M",1,"adult",0,1.70178639803856
2017,"KL",20864,"M",1,"adult",5.56364048982493,4.12577983837698
2018,"KL",20864,"M",1,"adult",0,1.19410634818236
2015,"KL",20866,"M",1,"yearling",0,0.00550994838793582
2016,"KL",20866,"M",1,"adult",6.22965791051639,1.70178639803856
2017,"KL",20866,"M",1,"adult",9.36464667538067,4.12577983837698
2018,"KL",20866,"M",1,"adult",4.57726366536111,1.19410634818236
2017,"KL",20904,"M",1,"adult",7.29113849772766,4.12577983837698
2016,"KL",20914,"M",1,"adult",0,1.70178639803856
2017,"KL",20914,"M",1,"adult",7.8106598279482,4.12577983837698
2018,"KL",20914,"M",1,"adult",0,1.19410634818236
2018,"KL",20916,"M",1,"adult",0,1.19410634818236
2016,"KL",20919,"M",1,"adult",0,1.70178639803856
2017,"KL",20919,"M",1,"adult",6.77102209494519,4.12577983837698
2018,"KL",20919,"M",1,"adult",4.22875173707793,1.19410634818236
2016,"KL",20921,"M",1,"adult",0,1.70178639803856
2017,"KL",20921,"M",1,"adult",7.39525914427803,4.12577983837698
2016,"SU",20939,"M",1,"adult",0,1.70178639803856
2017,"SU",20939,"M",1,"adult",5.94554889603619,4.12577983837698
2018,"SU",20939,"M",1,"adult",0,1.19410634818236
2015,"SU",20940,"M",0,"yearling",0,0.00550994838793582
2016,"SU",20940,"M",1,"adult",0,1.70178639803856
2017,"SU",20940,"M",1,"adult",7.59672228225116,4.12577983837698
2018,"SU",20940,"M",1,"adult",0,1.19410634818236
2014,"SU",20942,"M",0,"juvenile",8.6708034170252,6.90201340778595
2015,"SU",20942,"M",1,"yearling",0,0.00550994838793582
2016,"SU",20942,"M",1,"adult",0,1.70178639803856
2017,"SU",20942,"M",1,"adult",9.17907247035506,4.12577983837698
2018,"SU",20942,"M",1,"adult",6.74139713297993,1.19410634818236
2016,"SU",20945,"M",1,"adult",0,1.70178639803856
2017,"SU",20945,"M",1,"adult",8.50248906991122,4.12577983837698
2018,"SU",20945,"M",0,"adult",6.23497730876293,1.19410634818236
2015,"SU",21004,"M",1,"yearling",0,0.00550994838793582
2014,"KL",21030,"M",0,"juvenile",8.58825473798882,6.90201340778595
2014,"SU",21031,"M",0,"juvenile",10.4647703044738,6.90201340778595
2016,"SU",21031,"M",1,"adult",8.00064959349405,1.70178639803856
2017,"SU",21031,"M",1,"adult",9.52208906578961,4.12577983837698
2018,"SU",21031,"M",1,"adult",5.45893359529838,1.19410634818236
2014,"SU",21043,"M",1,"yearling",6.39295340737442,6.90201340778595
2016,"SU",21043,"M",1,"adult",0,1.70178639803856
2017,"SU",21043,"M",1,"adult",7.77533847962657,4.12577983837698
2018,"SU",21043,"M",1,"adult",0,1.19410634818236
2019,"SU",21043,"M",0,"adult",9.4032752837271,7.77371756809913
2016,"SU",21117,"M",1,"adult",9.28572108979229,1.70178639803856
2017,"SU",21117,"M",1,"adult",8.79456580823368,4.12577983837698
2017,"KL",21216,"M",1,"adult",7.4428916574862,4.12577983837698
2018,"KL",21216,"M",1,"adult",3.95937385168279,1.19410634818236
2015,"KL",21222,"M",1,"yearling",0,0.00550994838793582
2016,"KL",21222,"M",1,"adult",0,1.70178639803856
2017,"KL",21222,"M",1,"adult",8.69002360013443,4.12577983837698
2018,"KL",21222,"M",1,"adult",7.2105154604228,1.19410634818236
2014,"KL",21238,"M",0,"juvenile",10.5049892805123,6.90201340778595
2016,"KL",21238,"M",1,"adult",0,1.70178639803856
2015,"KL",21239,"M",1,"yearling",0,0.00550994838793582
2016,"KL",21239,"M",1,"adult",5.91652245467546,1.70178639803856
2017,"KL",21239,"M",1,"adult",8.36453376329663,4.12577983837698
2018,"KL",21239,"M",1,"adult",4.9738371495921,1.19410634818236
